type,zcr_diff_mean,zcr_third_central_moment,zcr_exceed_th,zcr_std_of_fod,ste_mler
1,0.51,0.0001786544596088238,0.54,0.014868601849418905,0.41
1,0.37,0.0017189023414035476,0.08,0.019119932896167813,0.0
1,0.51,9.077185617383787e-05,0.59,0.011446458528235405,0.0
1,0.45,0.00010668274976549294,0.73,0.012236215398457533,0.0
1,0.43,0.00013883803839047376,0.23,0.013408350298419714,0.0
1,0.42,9.098769664539225e-05,0.83,0.012160596564769763,0.0
1,0.39,0.0001495011019560975,0.6,0.01224974573599461,0.0
1,0.47,4.104790048741963e-05,0.84,0.011333332888848979,0.0
1,0.48,2.0611285428194832e-06,1.0,0.013604063578310736,0.0
1,0.46,8.015915252830433e-05,0.82,0.012075264826665275,0.03
1,0.47,2.5139884780379094e-05,0.98,0.015824529432491338,0.0
1,0.46,0.0003772455422695405,0.31,0.013760648769792617,0.01
1,0.41,0.0011980507504239343,0.18,0.016555668139871978,0.03
1,0.45,0.00018888566034133767,0.92,0.014823554866995946,0.0
1,0.5,-2.1016921122035824e-05,0.97,0.01144127819113023,0.0
1,0.37,0.00022728106591179484,0.84,0.013912163414423756,0.0
1,0.57,-0.0003196274100469084,0.98,0.017941955538609423,0.0
1,0.45,0.001239870090137339,0.26,0.02095700194311142,0.14
1,0.46,0.002364269094086695,0.32,0.023832233225954316,0.34
1,0.41,0.002238882744854464,0.33,0.02013833437032946,0.3
1,0.45,0.0010575891915993259,0.44,0.01952122686329044,0.23
1,0.49,0.0014321869829579926,0.42,0.021606212324076838,0.28
1,0.46,0.0026245246392220542,0.44,0.028404971579621692,0.3
1,0.42,0.0006150592959660614,0.13,0.01661605192931923,0.0
1,0.46,0.002459266530487022,0.43,0.02693129364369865,0.18
1,0.47,0.0025737162159869625,0.17,0.023302295143257636,0.13
1,0.43,0.001761175166124159,0.43,0.020921938089112645,0.14
1,0.44,0.0015253567772407467,0.11,0.022253539717256247,0.08
1,0.46,0.0011345105595366744,0.28,0.024495251156823692,0.01
1,0.45,0.0011316303462062835,0.27,0.020713075644244842,0.06
