type,zcr_diff_mean,zcr_third_central_moment,zcr_exceed_th,zcr_std_of_fod,ste_mler
1,0.18,0.03735285596424491,0.05,0.02506983892201513,0.48
1,0.16,0.06541849130847367,0.1,0.029364760437377468,0.19
1,0.09,0.08981173261176169,0.04,0.029386365815026207,0.06
1,0.3,0.004923451176893031,0.02,0.01740615963674807,0.0
1,0.47,5.28284638756135e-05,0.98,0.009936295233638709,0.0
1,0.31,0.00047273166988629514,0.08,0.013856022347679015,0.0
1,0.44,0.00023570687282219562,0.58,0.013011258519805098,0.0
1,0.45,0.00013716134923485692,0.73,0.013980205180249474,0.0
1,0.44,0.00029371897092093067,0.23,0.015457963958372085,0.0
1,0.47,6.993366996275852e-05,0.99,0.012767974345613609,0.0
1,0.4,0.002144567825330471,0.05,0.014019496576034149,0.0
1,0.48,0.00048644738550085616,0.14,0.012751188539710788,0.0
1,0.32,0.0038503424822605658,0.13,0.015316905878622113,0.0
1,0.4,0.00040977268401820366,0.34,0.014500094684758425,0.19
1,0.49,9.295628515133597e-05,0.72,0.013264095423853648,0.0
1,0.42,0.0008104261019919503,0.22,0.01873356571360969,0.0
1,0.41,0.0006956288229474665,0.46,0.017809932058612525,0.0
1,0.35,0.0012169526878218033,0.12,0.02203253981090992,0.0
1,0.38,0.0023827524212620037,0.05,0.018183730564410992,0.0
1,0.38,0.0005768111749510043,0.14,0.011121965397089857,0.0
1,0.38,6.634339916107437e-06,0.28,0.004071869089829508,0.0
1,0.49,9.346347842873823e-06,0.86,0.00886554247121893,0.0
1,0.53,2.71818431662524e-06,1.0,0.011749350903151018,0.0
1,0.4,0.0001363067451773875,0.89,0.010851321595528813,0.0
1,0.33,0.015616096635640085,0.05,0.017831238898401734,0.01
1,0.46,4.365742039330414e-05,1.0,0.008743764726259085,0.0
1,0.28,0.062397819355733734,0.07,0.03792894739615832,0.04
1,0.29,0.01882696381564232,0.09,0.038548419400328805,0.22
1,0.42,3.433408863157065e-05,1.0,0.008882613165787891,0.0
1,0.44,1.4336988902646072e-05,0.13,0.005199436602590199,0.09
1,0.34,4.391558352044387e-06,0.96,0.005782222081058593,0.0
1,0.39,3.005768676421778e-05,0.39,0.01006883502600558,0.0
1,0.43,1.540515281086342e-05,0.88,0.009810763994467774,0.0
1,0.47,5.784677844996615e-05,0.98,0.018850234346695884,0.0
1,0.45,8.09913229024316e-05,0.88,0.01688072539951607,0.0
1,0.5,1.1932808818531067e-05,0.79,0.005866934434449684,0.01
1,0.33,0.003965450883280593,0.03,0.026534464133631024,0.0
1,0.35,0.0030083404331647467,0.23,0.024507263477619026,0.0
1,0.49,2.2968256311837033e-06,1.0,0.017352026129299612,0.0
1,0.47,0.0002267517170328826,0.85,0.021496064275694057,0.0
1,0.31,0.010698622935273015,0.08,0.024916705675352976,0.0
1,0.48,7.661345439652066e-05,1.0,0.01307406842410876,0.0
1,0.39,0.00010162144094169781,1.0,0.014531402750563497,0.0
1,0.43,5.019408275442514e-05,1.0,0.01821047793603401,0.0
1,0.53,0.00010026599663986152,0.99,0.016588915911632564,0.0
1,0.46,6.819980350982565e-05,1.0,0.016084370398550422,0.0
1,0.32,0.012552821186526564,0.08,0.02240295797456608,0.0
1,0.53,-3.1129829516249045e-05,1.0,0.016805830784252785,0.0
1,0.52,3.805510598992845e-05,0.95,0.019601310763170947,0.0
1,0.45,0.00020652636283970517,1.0,0.01532900905198242,0.0
1,0.44,0.00012249610309413383,1.0,0.01877361872325974,0.0
1,0.43,0.001283597204133787,0.52,0.02731993112377849,0.0
1,0.43,4.0972156418266794e-05,0.91,0.01874491820736246,0.0
1,0.5,2.7764668580499053e-05,1.0,0.017893753854809916,0.0
1,0.35,0.009807723203431335,0.08,0.028293315646612638,0.0
1,0.56,5.3045203303528287e-05,0.99,0.015877402871656874,0.0
1,0.54,-1.5092825814053286e-05,1.0,0.012264597964814631,0.0
1,0.53,1.3907595576113327e-05,0.94,0.008528472902651449,0.05
1,0.46,7.558480609143999e-05,0.97,0.01946245052300532,0.0
1,0.48,0.00010901103449694304,0.98,0.019121489988084973,0.0
1,0.44,9.129506101832423e-06,1.0,0.015579488795711846,0.0
1,0.51,2.1130494813913892e-05,1.0,0.014399970614394473,0.0
1,0.51,7.545334596629268e-05,0.96,0.01835825289604741,0.0
1,0.46,3.80228808529193e-05,1.0,0.01572066030089748,0.0
1,0.47,7.679568019637942e-05,1.0,0.01556410043630854,0.0
1,0.46,0.00024014727213791205,0.83,0.02248764663698901,0.0
1,0.44,0.0005345496177913887,0.94,0.0227066893522598,0.0
1,0.52,-3.349855591580299e-05,0.98,0.016152266837914896,0.0
1,0.34,0.0018954416082895946,0.12,0.016976370741363832,0.01
1,0.44,0.00024598439429247333,0.93,0.018767071460446583,0.0
1,0.46,0.0001653940627675117,0.97,0.017061820174032828,0.0
1,0.45,0.0001917378355026691,0.86,0.016937317887307575,0.0
1,0.43,0.00024742426353874627,0.93,0.016534978273176324,0.0
1,0.44,0.0004643145001276197,0.83,0.019890586870782552,0.0
1,0.47,6.154353185682771e-05,1.0,0.012995987995902882,0.0
1,0.49,6.094027267480116e-05,0.91,0.013363837868363327,0.0
1,0.48,0.00018785397324894758,0.15,0.0130140706175286,0.0
1,0.46,5.180081771449129e-05,0.2,0.010480509725273838,0.01
1,0.43,4.820737170799654e-05,0.73,0.011520161841158843,0.0
1,0.47,5.5199050275341186e-05,0.84,0.00936228701254144,0.0
1,0.45,0.00018643107573910168,0.54,0.018236517233896254,0.0
1,0.52,1.717144203128943e-05,0.93,0.019206184481471288,0.0
1,0.46,0.0001819243337937598,0.8,0.01830976463933079,0.0
1,0.46,0.00013481807344417496,0.82,0.01700898894639148,0.0
1,0.48,4.667911703736699e-05,1.0,0.01808898764109083,0.0
1,0.46,0.00015765069752892292,1.0,0.021034531531281115,0.0
1,0.48,7.402048648090329e-05,1.0,0.01894548337389376,0.0
1,0.45,6.130911761766629e-05,1.0,0.016223921664641944,0.0
1,0.48,7.204997413838953e-05,0.9,0.015758383750121934,0.0
1,0.5,5.830909386702928e-05,0.88,0.016253741096222653,0.0
1,0.4,0.0011577751723783807,0.04,0.013486474614948656,0.0
1,0.47,0.0003941486764336706,0.67,0.017844473847730274,0.0
1,0.41,0.0002430950051361185,0.97,0.018516538855698737,0.0
1,0.46,0.00041491695304722906,0.93,0.019452656303715437,0.0
1,0.44,9.595154215963696e-05,0.93,0.016205503505711056,0.0
1,0.5,-7.781368881075737e-06,0.99,0.01699448597520167,0.0
1,0.48,0.00018832815086740315,0.91,0.020098534291793552,0.0
1,0.5,3.782142368313523e-05,1.0,0.017544848374666563,0.0
1,0.41,0.0001393106865588565,0.94,0.017783976157457162,0.0
1,0.47,0.00040173678368874815,0.5,0.018797936101097854,0.0
1,0.4,0.00026248126576693397,0.56,0.01525993363501215,0.0
1,0.27,0.015203417743761553,0.04,0.025148082108250664,0.0
1,0.5,-5.9873352264584704e-05,0.98,0.02027091572342872,0.0
1,0.48,8.329738644703286e-05,1.0,0.019345379080615704,0.0
1,0.52,5.243254967774495e-05,0.99,0.017557761363296752,0.0
1,0.48,-2.2844563239603212e-05,1.0,0.01925983258404336,0.0
1,0.54,0.00019526099151668576,0.96,0.02109239688052836,0.0
1,0.48,5.053709669345851e-06,1.0,0.027346778360588717,0.0
1,0.49,-1.0452140245448134e-05,0.98,0.02265057979942409,0.0
1,0.49,0.00014437956218166814,0.97,0.02078080703660826,0.0
1,0.45,0.00029250590189335967,0.9,0.0233677865548158,0.0
1,0.46,0.00013994424441790963,0.99,0.016030518739834458,0.0
1,0.59,7.190695088098941e-06,0.83,0.0049267388161893435,0.31
1,0.45,9.566627742206037e-05,0.55,0.010528218658701998,0.0
1,0.51,7.797548871307932e-05,0.99,0.02033236731385251,0.0
1,0.42,0.00039799413890946557,0.92,0.022347594160629588,0.0
1,0.48,0.00014621857504783353,1.0,0.019143084137691325,0.0
1,0.48,-3.426341999307598e-05,1.0,0.01973518713401193,0.0
1,0.47,-2.209130077131536e-05,1.0,0.02067988784229668,0.0
1,0.47,0.00011849596853051067,0.98,0.020271769774525928,0.0
1,0.48,0.00015370707479005642,0.99,0.02147585285287915,0.0
