type,zcr_diff_mean,zcr_third_central_moment,zcr_exceed_th,zcr_std_of_fod,ste_mler
1,0.1855670103092784,0.00038864168710608455,0.061855670103092786,0.02709570133264179,0.4948453608247423
1,0.16494845360824742,0.0006655492117931612,0.10309278350515463,0.03192707360437925,0.14432989690721648
1,0.1134020618556701,0.0008854185462753489,0.061855670103092786,0.029774319835650976,0.041237113402061855
1,0.28865979381443296,4.9047631307528585e-05,0.05154639175257732,0.01613805345808574,0.0
1,0.4536082474226804,4.477269195998525e-07,0.9896907216494846,0.008875243417308845,0.0
1,0.3608247422680412,4.038477998815883e-06,0.14432989690721648,0.01220083830677027,0.0
1,0.4639175257731959,2.097227421011351e-06,0.5979381443298969,0.013464384934892444,0.0
1,0.4329896907216495,2.474599079420944e-06,0.4329896907216495,0.014815512734257538,0.0
1,0.4639175257731959,1.161320470698989e-06,0.6597938144329897,0.014823993025642712,0.0
1,0.4536082474226804,4.945122723033812e-07,0.9896907216494846,0.011780493049479729,0.0
1,0.3917525773195876,2.1046128685927563e-05,0.041237113402061855,0.013449261247186959,0.0
1,0.42268041237113396,5.534081979632471e-06,0.1958762886597938,0.012158061088161887,0.0
1,0.30927835051546393,4.2264656364482284e-05,0.12371134020618554,0.017645429377117244,0.0
1,0.3711340206185567,4.353585886148243e-06,0.4329896907216495,0.01562248089821626,0.05154639175257732
1,0.4639175257731959,1.5546226948241663e-06,0.4639175257731959,0.013719868741293544,0.0
1,0.42268041237113396,8.045062447404134e-06,0.1855670103092784,0.017974242241286097,0.0
1,0.42268041237113396,6.535431404413951e-06,0.4329896907216495,0.016683667666564376,0.0
1,0.4020618556701031,9.317835690016944e-06,0.24742268041237114,0.01805360286459862,0.0
1,0.32989690721649484,2.326327988040998e-05,0.041237113402061855,0.015298717826733529,0.0
1,0.3917525773195876,5.7909843100611415e-06,0.14432989690721648,0.010658717210345746,0.0
1,0.38144329896907214,8.355770030087367e-08,0.25773195876288657,0.0039038972428731685,0.0
1,0.4948453608247423,2.173895732155502e-07,0.7010309278350515,0.00856888341666736,0.0
1,0.5567010309278351,-9.010496266862176e-08,1.0,0.010294964618367805,0.0
1,0.4536082474226804,1.0966956289615065e-06,0.9175257731958762,0.010248801973473687,0.0
1,0.32989690721649484,0.00014941366631480594,0.05154639175257732,0.016641510202327302,0.0
1,0.4639175257731959,3.785965369520704e-07,1.0,0.008662130386667825,0.0
1,0.26804123711340205,0.0006105281366254285,0.061855670103092786,0.03880837941477632,0.0
1,0.26804123711340205,0.00022301582478398974,0.09278350515463918,0.04420611948414191,0.15463917525773194
1,0.4123711340206185,4.147519651112614e-07,1.0,0.009308951312446209,0.0
1,0.4845360824742268,1.947823604536425e-07,0.09278350515463918,0.00566604956290785,0.07216494845360824
1,0.38144329896907214,4.157068352963046e-08,0.8350515463917526,0.00664597597245504,0.0
1,0.4020618556701031,1.5863059087047623e-07,0.7319587628865979,0.00614865446105429,0.0
1,0.4020618556701031,6.662008203058389e-08,1.0,0.007282554554545344,0.0
1,0.4639175257731959,3.17279892225275e-07,0.9690721649484536,0.018182988340934687,0.0
1,0.4948453608247423,3.713018356735458e-07,1.0,0.016017660339844562,0.0
1,0.4845360824742268,2.292054846406364e-07,0.9175257731958762,0.006937564658375996,0.0
1,0.4329896907216495,2.353290328846933e-05,0.020618556701030927,0.026486093667965168,0.0
1,0.3711340206185567,3.0600950516989945e-05,0.31958762886597936,0.024256770673277108,0.0
1,0.4432989690721649,5.127014957856488e-08,1.0,0.015464007398193548,0.0
1,0.4536082474226804,2.7680326908770114e-06,0.9072164948453608,0.022093886735030304,0.0
1,0.28865979381443296,9.705234746352648e-05,0.07216494845360824,0.02104732245652606,0.0
1,0.4536082474226804,1.0877033393304044e-06,1.0,0.014494375371863853,0.0
1,0.42268041237113396,9.875267072423131e-07,1.0,0.012087151042161385,0.0
1,0.5051546391752577,3.4069937241254213e-07,0.9690721649484536,0.018598288330846743,0.0
1,0.4742268041237113,5.062111183741148e-07,1.0,0.01682783067929253,0.0
1,0.4948453608247423,1.0743551018800496e-07,1.0,0.015981328922357402,0.0
1,0.27835051546391754,0.00012442980798955044,0.08247422680412371,0.021047897823035573,0.0
1,0.5051546391752577,-3.858447933796675e-07,0.9793814432989691,0.019019253947539668,0.0
1,0.4948453608247423,8.730509529155292e-07,0.9587628865979382,0.01824858321703989,0.0
1,0.4948453608247423,1.7302762949477195e-06,1.0,0.01772551065411338,0.0
1,0.4742268041237113,6.280852487639668e-07,0.9793814432989691,0.019685515371381912,0.0
1,0.4536082474226804,1.0153691698030356e-05,0.711340206185567,0.02773985834788187,0.0
1,0.5051546391752577,5.9475010156507335e-08,0.9587628865979382,0.01685821630800054,0.0
1,0.4536082474226804,8.334641072683761e-07,1.0,0.015742737969430418,0.0
1,0.3402061855670103,9.066292539791538e-05,0.07216494845360824,0.027403750063809008,0.0
1,0.42268041237113396,3.3523483974520164e-07,0.9896907216494846,0.01349289124548364,0.0
1,0.5051546391752577,4.611173441538572e-07,0.9587628865979382,0.013535426309178065,0.0
1,0.4948453608247423,1.8895405820516e-07,0.9587628865979382,0.008832226279753032,0.010309278350515464
1,0.5051546391752577,8.243706303212873e-07,1.0,0.017126437351989474,0.0
1,0.5051546391752577,8.152735038765355e-07,1.0,0.017962110703065044,0.0
1,0.4742268041237113,3.97794964558566e-07,1.0,0.01699865530220071,0.0
1,0.4329896907216495,4.6571906112961065e-07,1.0,0.016484201227111167,0.0
1,0.4845360824742268,1.8418236179019142e-06,0.8350515463917526,0.019543956401964352,0.0
1,0.4845360824742268,3.2246842482258313e-07,1.0,0.015459830222815125,0.0
1,0.4742268041237113,8.211824763645462e-07,1.0,0.016418687343375066,0.0
1,0.4948453608247423,3.27982307413623e-07,0.9587628865979382,0.02465174507741649,0.0
1,0.4123711340206185,7.510840590128982e-06,0.7319587628865979,0.02625414923835947,0.0
